Country,Units,Scale,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Estimates Start After
Namibia,U.S. dollars,Units,"2,156.03","1,954.97","1,825.85","2,630.11","3,470.15","3,742.51","3,870.94","4,378.56","4,198.55","4,340.18","5,410.98","5,870.93","6,038.86","5,540.62","5,555.93","5,020.47",2022
Nauru,U.S. dollars,Units,n/a,n/a,n/a,n/a,"3,066.93","3,053.02","3,144.74","2,509.32","3,982.19","4,630.94","4,813.33","6,521.17","10,005.18","8,975.70","8,630.43","7,090.71",2020
Nepal,U.S. dollars,Units,266.158,269.25,269.082,281.039,319.068,354.973,388.995,440.856,532.331,542.536,671.998,795.314,794.093,809.346,827.394,882.308,2021
Netherlands,U.S. dollars,Units,"26,327.86","26,996.17","29,401.97","35,814.27","40,477.30","42,054.88","44,936.01","51,880.38","58,015.40","52,807.45","51,165.82","54,342.11","50,175.56","52,276.99","53,026.48","45,302.80",2022
New Zealand,U.S. dollars,Units,"14,021.63","13,669.13","15,706.93","20,461.05","24,849.12","27,384.83","26,220.07","31,914.99","31,762.71","28,270.28","33,393.53","38,059.16","39,684.53","42,083.01","44,285.97","38,200.04",2022
Nicaragua,U.S. dollars,Units,"1,030.74","1,054.66","1,011.90","1,010.23","1,077.78","1,152.80","1,224.72","1,326.66","1,498.88","1,438.13","1,499.07","1,652.10","1,728.15","1,783.56","1,909.42","2,029.12",2020
Niger,U.S. dollars,Units,197.275,207.769,227.424,267.41,285.39,320.925,335.336,389.258,477.272,462.269,476.064,511.49,528.921,551.557,562.888,484.173,2009
Nigeria,U.S. dollars,Units,554.64,583.187,730.836,780.399,963.236,"1,221.65","1,563.03","1,791.82","2,197.78","1,927.48","2,328.43","2,543.50","2,756.41","2,998.07","3,222.69","2,718.59",2012
North Macedonia,U.S. dollars,Units,"1,878.24","1,839.62","1,974.06","2,440.81","2,796.62","3,071.90","3,359.61","4,076.30","4,838.15","4,579.09","4,576.23","5,097.26","4,728.37","5,239.65","5,498.61","4,860.42",2022
Norway,U.S. dollars,Units,"38,094.60","38,553.84","43,083.87","50,161.51","57,676.82","66,924.05","74,255.80","85,276.99","97,119.99","80,115.69","87,823.81","100,815.93","101,779.19","103,214.97","97,302.71","74,568.14",2022
Oman,U.S. dollars,Units,"9,266.36","9,088.21","9,285.34","9,792.64","11,042.53","13,563.46","15,946.36","17,716.42","25,061.26","19,235.88","21,677.79","23,518.57","24,129.01","23,328.49","23,219.69","18,924.97",2021
Pakistan,U.S. dollars,Units,698.964,666.691,662.991,741.252,854.153,920.498,"1,007.35","1,125.63","1,187.34","1,075.51","1,107.55","1,271.73","1,351.57","1,370.24","1,409.47","1,527.37",2021
Palau,U.S. dollars,Units,"7,900.29","8,304.59","8,404.13","7,923.59","8,462.15","9,327.33","9,678.12","10,136.31","10,498.22","9,882.58","10,080.44","10,885.96","12,294.28","13,004.43","14,149.36","16,037.96",2021
Panama,U.S. dollars,Units,"4,261.46","4,244.11","4,324.66","4,469.69","4,807.66","5,146.05","5,598.29","6,350.18","7,369.19","7,806.73","8,332.58","9,653.93","11,063.26","12,273.18","13,221.57","14,102.16",2022
Papua New Guinea,U.S. dollars,Units,"1,007.52",862.099,814.701,995.275,"1,111.94","1,269.53","1,411.90","1,576.16","1,883.53","1,833.09","2,132.19","2,552.04","2,865.78","2,800.18","2,992.71","2,742.91",2020
Paraguay,U.S. dollars,Units,"1,675.79","1,577.68","1,312.08","1,377.52","1,693.89","1,857.78","2,285.13","2,988.68","4,054.04","3,623.93","4,329.69","5,301.83","5,153.42","5,892.85","6,065.28","5,360.08",2022
Peru,U.S. dollars,Units,"1,940.24","1,935.55","2,017.77","2,159.74","2,408.09","2,669.21","3,106.72","3,587.80","4,210.55","4,181.71","5,057.07","5,736.33","6,406.71","6,647.41","6,584.70","6,169.38",2017
Philippines,U.S. dollars,Units,"1,087.29","1,003.96","1,050.30","1,062.62","1,137.07","1,261.24","1,470.83","1,764.68","2,011.63","1,923.67","2,237.16","2,473.25","2,721.25","2,903.19","2,995.50","3,039.23",2022
Poland,U.S. dollars,Units,"4,485.06","4,987.86","5,205.52","5,699.56","6,684.68","8,023.92","9,031.80","11,252.86","13,999.50","11,532.28","12,510.81","13,776.57","13,010.54","13,550.39","14,183.12","12,545.19",2022
Portugal,U.S. dollars,Units,"11,531.47","11,734.88","12,927.58","15,793.85","18,055.89","18,790.56","19,840.47","22,813.67","24,946.26","23,126.18","22,539.04","23,213.13","20,576.83","21,653.51","22,109.32","19,252.02",2022
Puerto Rico,U.S. dollars,Units,"16,192.13","18,243.71","18,972.77","19,820.21","20,988.99","21,959.32","22,935.95","23,664.87","24,898.34","25,768.73","26,435.74","27,278.85","27,944.74","28,513.15","28,981.34","29,755.35",2021
Qatar,U.S. dollars,Units,"30,461.31","28,600.03","30,701.13","35,919.76","42,548.12","54,357.78","60,591.78","65,934.27","72,484.63","53,822.91","69,796.14","96,827.86","101,933.12","99,180.39","93,054.14","66,346.91",2022
Romania,U.S. dollars,Units,"1,667.61","1,800.97","2,108.45","2,672.06","3,487.70","4,608.80","5,744.63","8,273.89","10,446.48","8,540.19","8,391.05","9,546.75","8,919.36","9,481.98","10,025.46","8,951.74",2022
Russia,U.S. dollars,Units,"1,901.96","2,255.25","2,552.79","3,197.57","4,403.96","5,708.84","7,426.01","9,761.37","12,464.24","9,156.97","11,431.15","14,306.43","15,287.97","15,928.70","14,007.51","9,257.94",2022
Rwanda,U.S. dollars,Units,266.055,248.99,242.338,257.7,277.634,334.407,368.508,442.334,545.574,585.04,612.395,674.982,730.185,728.395,749.269,758.834,2012
Samoa,U.S. dollars,Units,"1,552.03","1,557.51","1,638.54","1,927.09","2,341.91","2,704.30","2,850.16","3,121.32","3,733.91","3,348.77","3,658.42","3,969.17","4,088.77","4,182.94","4,144.65","4,258.96",2021
San Marino,U.S. dollars,Units,n/a,n/a,n/a,n/a,"59,313.41","61,150.61","64,498.51","72,991.53","79,110.20","67,011.54","60,426.24","57,512.89","50,336.19","51,986.53","51,234.87","43,068.69",2021
S?o Tom? and Pr?ncipe,U.S. dollars,Units,550.516,505.213,552.891,647.954,692.685,809.407,839.546,885.101,"1,125.88","1,173.50","1,090.26","1,274.45","1,262.80","1,439.11","1,545.25","1,335.73",2011
Saudi Arabia,U.S. dollars,Units,"10,448.56","9,898.28","9,937.44","11,027.90","12,891.37","15,943.46","17,827.38","19,196.07","23,403.65","18,836.97","22,028.37","26,966.31","28,348.57","27,290.19","27,079.66","22,453.59",2022
Senegal,U.S. dollars,Units,614.004,648.446,680.83,831.623,931.745,993.237,"1,027.79","1,197.55","1,403.80","1,307.52","1,272.62","1,366.53","1,318.61","1,372.69","1,397.02","1,219.37",2020
Serbia,U.S. dollars,Units,"1,302.46","1,733.70","2,291.26","3,009.72","3,486.09","3,695.34","4,398.83","5,878.87","7,087.45","6,168.23","5,673.62","6,809.94","6,014.91","6,752.80","6,598.94","5,588.98",2022
Seychelles,U.S. dollars,Units,"7,578.83","7,663.08","8,431.92","8,524.94","10,176.66","11,093.31","12,014.42","12,155.70","11,480.43","9,707.27","10,805.10","11,647.02","11,999.90","14,762.22","15,189.42","15,375.61",2015
Sierra Leone,U.S. dollars,Units,205.251,228.033,251.704,265.323,264.775,285.106,323.259,360.425,409.443,391.213,401.835,448.324,566.37,716.148,713.53,592.903,2021
Singapore,U.S. dollars,Units,"23,852.83","21,699.75","22,159.83","23,730.38","27,608.08","29,961.31","33,768.45","39,432.90","40,008.58","38,926.81","47,236.67","53,891.46","55,547.55","56,967.43","57,564.80","55,645.61",2022
Slovak Republic,U.S. dollars,Units,"3,839.80","3,982.45","4,626.83","6,341.55","8,040.07","9,141.84","10,700.34","14,374.85","18,074.59","16,591.52","16,925.82","18,526.85","17,520.02","18,284.89","18,734.14","16,399.95",2022
Slovenia,U.S. dollars,Units,"10,259.49","10,502.32","11,804.77","14,873.63","17,254.83","18,152.13","19,723.80","23,912.49","27,744.21","24,854.23","23,570.18","25,156.14","22,674.49","23,516.53","24,263.96","20,898.91",2022
Solomon Islands,U.S. dollars,Units,"1,017.39",965.938,795.544,788.629,866.985,"1,014.73","1,119.59","1,260.25","1,389.05","1,428.61","1,604.15","1,938.79","2,131.45","2,250.76","2,274.90","2,168.57",2019
Somalia,U.S. dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,437.511,481.926,514.686,531.554,2013
South Africa,U.S. dollars,Units,"3,382.07","2,964.03","2,791.18","4,209.22","5,415.09","6,033.21","6,276.17","6,776.47","6,355.88","6,552.27","8,130.19","8,799.48","8,207.06","7,458.04","6,984.93","6,256.67",2022
South Sudan,U.S. dollars,Units,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,659.55","1,041.46","1,337.23","1,316.37","1,289.85",2008
Spain,U.S. dollars,Units,"14,761.11","15,400.91","17,097.92","21,501.07","24,932.13","26,438.03","28,414.13","32,588.56","35,484.39","32,131.38","30,566.88","31,676.69","28,344.91","29,094.34","29,537.63","25,776.22",2022
Sri Lanka,U.S. dollars,Units,"1,065.47","1,017.15","1,061.68","1,162.71","1,259.77","1,477.60","1,698.16","1,928.71","2,410.80","2,472.24","2,894.26","3,320.07","3,446.36","3,737.37","3,969.71","4,057.74",2020
St. Kitts and Nevis,U.S. dollars,Units,"9,279.58","9,962.55","10,304.32","9,922.48","10,566.96","11,256.64","13,095.20","13,845.79","15,451.23","15,215.84","15,136.91","16,076.85","15,694.49","16,455.08","17,737.03","17,628.82",2015
St. Lucia,U.S. dollars,Units,"5,843.35","5,553.19","5,558.32","6,051.87","6,490.83","6,861.98","7,614.25","7,944.16","8,462.30","8,248.56","8,555.92","9,113.38","9,232.22","9,542.23","10,008.51","10,291.46",2022
St. Vincent and the Grenadines,U.S. dollars,Units,"3,973.45","4,284.99","4,518.09","4,710.27","5,082.07","5,353.69","5,933.62","6,572.51","6,740.48","6,564.11","6,613.13","6,544.69","6,686.02","6,988.34","7,028.30","7,154.78",2016
Sudan,U.S. dollars,Units,422.316,492.676,554.652,635.575,772.939,996.677,"1,249.77","1,599.60","1,700.51","1,401.24","1,637.42","2,034.46","1,396.29","1,462.58","1,628.50","1,679.03",2011
Suriname,U.S. dollars,Units,"2,904.55","2,464.82","3,075.38","3,571.56","4,057.75","4,800.80","5,577.12","6,165.52","7,316.46","7,917.32","8,806.02","8,770.29","9,844.75","10,013.73","10,042.68","9,036.35",2021
Sweden,U.S. dollars,Units,"29,589.14","27,207.49","29,846.19","37,249.26","42,736.88","43,349.85","46,425.84","53,496.53","55,929.86","46,734.91","52,658.79","60,540.22","57,816.02","60,845.01","59,704.81","51,274.28",2022
Switzerland,U.S. dollars,Units,"38,976.04","39,832.00","42,658.50","49,520.42","54,772.69","56,378.93","59,217.08","65,370.16","74,665.58","71,898.31","76,822.06","90,938.47","86,283.22","87,878.54","89,279.52","84,230.68",2022
Syria,U.S. dollars,Units,"1,202.89","1,236.90","1,305.09","1,208.89","1,361.50","1,510.39","1,726.03","2,016.05","2,557.21","2,557.27","2,806.69",n/a,n/a,n/a,n/a,n/a,2010
Taiwan Province of China,U.S. dollars,Units,"14,844.24","13,357.20","13,651.36","14,040.60","15,290.31","16,427.46","16,892.88","17,723.70","18,053.59","16,904.54","19,181.36","20,838.59","21,256.36","21,945.46","22,844.32","22,752.99",2022
Tajikistan,U.S. dollars,Units,159.417,167.035,187.958,236.394,308.844,337.129,401.586,519.025,702.445,666.024,738.287,834.52,949.648,"1,040.15","1,105.20",919.073,2014
Tanzania,U.S. dollars,Units,380.08,377.469,382.354,401.069,428.927,459.757,491.056,551.781,683.137,693.025,732.315,768.16,867.857,970.348,"1,030.74",947.897,2012
Thailand,U.S. dollars,Units,"2,003.61","1,893.26","2,096.19","2,359.12","2,660.13","2,894.06","3,369.55","3,973.02","4,379.66","4,213.01","5,076.34","5,492.12","5,860.58","6,168.27","5,951.88","5,840.05",2021
Timor-Leste,U.S. dollars,Units,420.946,539.594,520.99,534.192,471.231,483.242,462.124,538.952,628.632,689.276,819.147,947.257,"1,031.00","1,213.65","1,233.58","1,332.70",2019
Togo,U.S. dollars,Units,402.18,388.651,435.683,526.449,547.7,539.198,540.082,621.808,735.775,737.152,722.819,803.341,782.049,847.4,877.419,770.221,2021
Tonga,U.S. dollars,Units,"2,066.55","1,819.63","1,828.63","2,015.25","2,288.90","2,581.93","2,865.26","2,919.69","3,360.51","3,040.24","3,561.48","4,014.77","4,581.89","4,409.00","4,325.61","4,319.44",2020
Trinidad and Tobago,U.S. dollars,Units,"6,545.95","7,046.38","7,162.51","8,931.03","10,442.17","12,471.95","14,280.04","16,765.86","21,448.70","14,777.40","16,957.43","19,300.83","19,962.22","20,822.97","21,414.32","19,340.18",2021
Tunisia,U.S. dollars,Units,"2,322.28","2,365.25","2,460.78","2,897.20","3,265.22","3,350.79","3,536.51","3,963.79","4,519.75","4,333.15","4,343.06","4,471.69","4,345.82","4,419.71","4,511.28","4,060.70",2019
T?rkiye,U.S. dollars,Units,"4,237.96","3,082.90","3,617.23","4,684.70","6,015.67","7,350.89","7,961.08","9,640.57","10,778.13","8,941.40","10,533.45","11,221.40","11,637.92","12,488.97","12,079.29","10,973.59",2022
Turkmenistan,U.S. dollars,Units,"1,874.56","2,559.36","3,177.65","4,129.70","5,078.35","6,077.58","7,486.02","8,978.76","7,351.64","6,821.55","6,838.34","8,517.45","9,464.68","9,559.96","10,157.40","7,916.93",2004
Tuvalu,U.S. dollars,Units,n/a,n/a,"1,741.53","2,075.67","2,385.56","2,348.71","2,464.22","2,865.98","3,186.85","2,759.03","3,133.04","3,777.34","3,609.11","3,615.37","3,583.65","3,396.69",2017
Uganda,U.S. dollars,Units,355.466,347.812,361.953,361.772,430.758,483.032,527.739,634.361,784.496,815.808,808.713,872.039,950.574,964.833,"1,008.02",839.308,2021
Ukraine,U.S. dollars,Units,664.376,784.864,885.315,"1,055.95","1,374.66","1,839.52","2,319.29","3,101.39","3,944.72","2,557.28","2,982.81","3,587.41","3,874.15","4,051.42","3,119.58","2,134.77",2020
United Arab Emirates,U.S. dollars,Units,"34,386.18","32,621.36","32,790.74","35,017.32","39,301.14","43,983.85","44,313.57","41,466.92","39,073.38","30,920.37","36,324.59","42,986.88","45,108.03","46,207.45","47,063.63","41,422.60",2021
United Kingdom,U.S. dollars,Units,"28,347.70","27,897.13","30,129.42","34,516.91","40,434.58","42,170.81","44,613.88","50,457.55","47,918.32","38,969.68","39,736.21","42,147.69","42,489.95","43,492.46","47,476.19","45,085.34",2020
United States,U.S. dollars,Units,"36,312.78","37,101.45","37,945.76","39,405.35","41,641.62","44,034.26","46,216.85","47,943.35","48,470.55","47,102.43","48,586.29","50,008.11","51,736.74","53,245.52","55,083.51","56,729.68",2022
Uruguay,U.S. dollars,Units,"7,432.34","6,803.60","4,441.10","3,941.68","4,476.94","5,663.50","6,377.45","7,622.82","9,857.30","10,232.12","12,943.94","15,341.31","16,325.41","18,271.53","18,109.94","16,791.91",2015
Uzbekistan,U.S. dollars,Units,702.209,587.633,481.995,499.329,585.221,689.391,811.157,"1,048.72","1,324.54","1,523.42","1,777.49","2,067.52","2,284.53","2,440.26","2,651.38","2,761.29",2022
Vanuatu,U.S. dollars,Units,"1,422.23","1,317.09","1,313.46","1,542.06","1,743.29","1,824.51","1,985.28","2,308.55","2,540.72","2,519.63","2,719.25","3,007.56","2,934.85","2,940.19","2,947.95","2,771.66",2020
Venezuela,U.S. dollars,Units,"4,820.65","4,963.92","3,778.26","3,266.10","4,312.00","5,421.66","6,646.80","8,538.10","11,079.07","9,557.55","11,158.18","10,934.28","12,688.11","8,692.96","7,107.44","4,096.97",2010
Vietnam,U.S. dollars,Units,498.579,513.197,546.555,610.357,756.981,873.136,996.255,"1,152.27","1,446.56","1,481.44","1,628.01","1,949.83","2,197.62","2,369.97","2,566.85","2,581.91",2021
West Bank and Gaza,U.S. dollars,Units,"1,412.75","1,275.69","1,102.50","1,197.16","1,350.91","1,461.09","1,480.70","1,563.70","1,913.32","2,061.56","2,406.26","2,711.92","2,888.60","3,122.99","3,158.60","3,084.13",2022
Yemen,U.S. dollars,Units,526.881,521.697,551.194,591.218,677.899,796.361,881.275,970.82,"1,170.96","1,061.42","1,267.56","1,303.59","1,369.69","1,519.34","1,579.56","1,508.38",2022
Zambia,U.S. dollars,Units,364.026,379.713,399.099,452.287,556.05,720.204,"1,066.02","1,133.67","1,393.78","1,151.19","1,469.24","1,644.13","1,729.58","1,840.67","1,724.81","1,307.54",2019
Zimbabwe,U.S. dollars,Units,969.824,964.08,922.878,822.472,806.898,764.632,677.881,646.558,553.376,790.352,975.851,"1,131.68","1,310.44","1,421.70","1,415.28","1,425.47",2017
,,,,,,,,,,,,,,,,,,,
"International Monetary Fund, World Economic Outlook Database, October 2023",,,,,,,,,,,,,,,,,,,
