Country,Units,Scale,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Estimates Start After
Burundi,U.S. dollars,Units,130.225,127.349,116.392,108.066,122.381,148.71,164.575,170.174,195.79,208.78,231.549,247.097,250.118,255.319,273.133,304.243,2021
Cabo Verde,U.S. dollars,Units,"1,399.09","1,387.33","1,501.55","2,051.81","2,295.72","2,359.62","2,623.34","3,391.23","3,985.21","3,727.31","3,632.19","4,028.64","3,722.10","3,900.96","3,878.77","3,283.57",2018
Cambodia,U.S. dollars,Units,299.982,320.046,337.501,360.659,405.618,470.64,536.135,627.781,741.822,737.177,788.182,889.745,965.379,"1,034.77","1,123.13","1,203.44",2021
Cameroon,U.S. dollars,Units,660.382,687.404,756.14,949.02,"1,089.42","1,101.55","1,147.50","1,277.67","1,439.39","1,409.94","1,353.41","1,464.89","1,404.41","1,527.77","1,604.63","1,382.65",2022
Canada,U.S. dollars,Units,"24,296.72","23,859.71","24,279.19","28,338.75","32,176.59","36,439.62","40,558.90","44,716.99","46,773.84","40,990.63","47,627.35","52,285.94","52,744.00","52,708.61","51,020.84","43,626.47",2022
Central African Republic,U.S. dollars,Units,238.505,242.794,260.865,310.302,336.409,356.688,381.315,427.313,485.807,482.648,492.078,551.028,566.199,380.304,424.67,377.476,2021
Chad,U.S. dollars,Units,188.139,223.102,250.264,330.959,513.888,661.203,712.529,803.018,932.601,805.798,895.354,985.629,970.738,982.92,"1,024.84",776.105,2019
Chile,U.S. dollars,Units,"5,099.92","4,608.06","4,479.77","4,824.87","6,183.91","7,558.01","9,410.39","10,447.12","10,759.74","10,176.73","12,723.06","14,560.25","15,316.01","15,740.39","14,582.85","13,494.49",2020
China,U.S. dollars,Units,951.163,"1,044.96","1,141.14","1,282.21","1,499.71","1,751.37","2,095.24","2,691.05","3,446.70","3,813.41","4,499.80","5,553.24","6,282.71","7,039.57","7,645.88","8,034.29",2022
Colombia,U.S. dollars,Units,"2,535.48","2,461.33","2,424.35","2,313.54","2,827.17","3,493.98","3,836.67","4,834.42","5,622.11","5,330.80","6,498.60","7,518.30","8,237.31","8,409.69","8,312.06","6,337.04",2022
